名称,機種,燃料種類,熱源種類,冷房／暖房,特性種類,下限,上限,特性ID,基整促係数,冷却水温度下限,冷却水温度上限
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Heating,能力比,4.5,19.5,Hq_AS_C3,0.95,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Heating,入力比,-15.5,19.5,Hp_AS_A,1.2,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Heating,部分負荷特性,0.1,1,Hx_AS_B,1,,
WaterChillingUnit_AirSource_Module_ICE,ウォータチリングユニット(空冷式モジュール形氷蓄熱用),電力,空気,Heating,送水温度特性,35,55,Hw_AS_A,1,,
ScrewChiller_ICE,スクリュー冷凍機(氷蓄熱用),電力,水,Cooling,能力比,22,35,Cq_WS_A,0.95,,
ScrewChiller_ICE,スクリュー冷凍機(氷蓄熱用),電力,水,Cooling,入力比,22,35,Cp_WS_A,1.2,,
ScrewChiller_ICE,スクリュー冷凍機(氷蓄熱用),電力,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
ScrewChiller_ICE,スクリュー冷凍機(氷蓄熱用),電力,水,Cooling,送水温度特性,-5,9,Cw_WS_E,1,,
ScrollChiller_ICE,スクロール冷凍機(氷蓄熱用),電力,水,Cooling,能力比,25,45,Cq_WS_A,0.95,,
ScrollChiller_ICE,スクロール冷凍機(氷蓄熱用),電力,水,Cooling,入力比,25,45,Cp_WS_A,1.2,,
ScrollChiller_ICE,スクロール冷凍機(氷蓄熱用),電力,水,Cooling,部分負荷特性,0.1,1,Cx_WS_E,1,,
ScrollChiller_ICE,スクロール冷凍機(氷蓄熱用),電力,水,Cooling,送水温度特性,-5,9,Cw_WS_E,1,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_CityGas,吸収式冷凍機(都市ガス),ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_CityGas_CTVWV,吸収式冷凍機(冷却水変流量、都市ガス),ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_LPG,吸収式冷凍機(LPG),液化石油ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_LPG_CTVWV,吸収式冷凍機(冷却水変流量、LPG),液化石油ガス,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Oil,吸収式冷凍機(重油),重油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Oil_CTVWV,吸収式冷凍機(冷却水変流量、重油),重油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Kerosene,吸収式冷凍機(灯油),灯油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,水,Cooling,送水温度特性,5,12,Cw_WS_B,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,能力比,-1,1,Hq_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,入力比,-1,1,Hp_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,部分負荷特性,0.1,1,Hx_boilerA,1,,
AbcorptionChiller_Kerosene_CTVWV,吸収式冷凍機(冷却水変流量、灯油),灯油,不要,Heating,送水温度特性,45,60,Hw_boilerA,1,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,能力比,20,32,Cq_WS_B,0.95,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,入力比,20,32,Cp_WS_D,1.2,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,部分負荷特性,0.2,1,Cx_WS_A,1,,
AbcorptionChiller_Steam,吸収式冷凍機(蒸気),蒸気,水,Cooling,送水温度特性,7,12,Cw_WS_B,1,,
