記号,説明,木製・樹脂製,,,,金属木複合製・金属樹脂複合製,,,,金属製,,,,ガラス単体,,,
,,Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ufg,Ufgs(明色BL),ηfg,ηfgs(明色BL),Ug,Ugs(明色BL),ηg,ηgs(明色BL)
3LsG09,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層9mm）,1.95 ,1.82 ,0.27 ,0.21 ,2.27 ,2.09 ,0.30 ,0.23 ,2.64 ,2.41 ,0.30 ,0.23 ,1.40 ,1.30 ,0.37 ,0.29 
3LsG10,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層10mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.20 ,0.37 ,0.29 
3LsG11,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層11mm）,1.89 ,1.76 ,0.27 ,0.21 ,2.19 ,2.02 ,0.30 ,0.23 ,2.56 ,2.33 ,0.30 ,0.23 ,1.30 ,1.20 ,0.37 ,0.29 
3LsG12,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層12mm）,1.82 ,1.70 ,0.27 ,0.21 ,2.11 ,1.95 ,0.30 ,0.23 ,2.48 ,2.26 ,0.30 ,0.23 ,1.20 ,1.10 ,0.37 ,0.29 
3LsG13,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層13mm）,1.82 ,1.70 ,0.27 ,0.21 ,2.11 ,1.95 ,0.30 ,0.23 ,2.48 ,2.26 ,0.30 ,0.23 ,1.20 ,1.10 ,0.37 ,0.29 
3LsG14,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層14mm）,1.76 ,1.64 ,0.27 ,0.21 ,2.03 ,1.87 ,0.30 ,0.23 ,2.40 ,2.18 ,0.30 ,0.23 ,1.10 ,1.10 ,0.37 ,0.29 
3LsG15,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層15mm）,1.76 ,1.64 ,0.27 ,0.21 ,2.03 ,1.87 ,0.30 ,0.23 ,2.40 ,2.18 ,0.30 ,0.23 ,1.10 ,1.00 ,0.37 ,0.29 
3LsG16,三層ガラス（Low-E　1枚、断熱ガス、日射遮蔽型、空気層16mm）,1.76 ,1.64 ,0.27 ,0.21 ,2.03 ,1.87 ,0.30 ,0.23 ,2.40 ,2.18 ,0.30 ,0.23 ,1.10 ,1.00 ,0.37 ,0.29 
3LgA06,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層6mm）,2.35 ,2.18 ,0.42 ,0.32 ,2.75 ,2.52 ,0.47 ,0.35 ,3.13 ,2.84 ,0.47 ,0.35 ,2.00 ,1.80 ,0.59 ,0.44 
3LgA07,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層7mm）,2.22 ,2.06 ,0.42 ,0.32 ,2.59 ,2.38 ,0.47 ,0.35 ,2.97 ,2.70 ,0.47 ,0.35 ,1.80 ,1.70 ,0.59 ,0.44 
3LgA08,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層8mm）,2.15 ,2.00 ,0.42 ,0.32 ,2.51 ,2.31 ,0.47 ,0.35 ,2.89 ,2.63 ,0.47 ,0.35 ,1.70 ,1.60 ,0.59 ,0.44 
3LgA09,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層9mm）,2.09 ,1.94 ,0.42 ,0.32 ,2.43 ,2.24 ,0.47 ,0.35 ,2.81 ,2.55 ,0.47 ,0.35 ,1.60 ,1.50 ,0.59 ,0.44 
3LgA10,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層10mm）,2.02 ,1.88 ,0.42 ,0.32 ,2.35 ,2.16 ,0.47 ,0.35 ,2.72 ,2.48 ,0.47 ,0.35 ,1.50 ,1.50 ,0.59 ,0.44 
3LgA11,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層11mm）,2.02 ,1.88 ,0.42 ,0.32 ,2.35 ,2.16 ,0.47 ,0.35 ,2.72 ,2.48 ,0.47 ,0.35 ,1.50 ,1.40 ,0.59 ,0.44 
3LgA12,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層12mm）,1.95 ,1.82 ,0.42 ,0.32 ,2.27 ,2.09 ,0.47 ,0.35 ,2.64 ,2.41 ,0.47 ,0.35 ,1.40 ,1.30 ,0.59 ,0.44 
3LgA13,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層13mm）,1.89 ,1.76 ,0.42 ,0.32 ,2.19 ,2.02 ,0.47 ,0.35 ,2.56 ,2.33 ,0.47 ,0.35 ,1.30 ,1.30 ,0.59 ,0.44 
3LgA14,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層14mm）,1.89 ,1.76 ,0.42 ,0.32 ,2.19 ,2.02 ,0.47 ,0.35 ,2.56 ,2.33 ,0.47 ,0.35 ,1.30 ,1.20 ,0.59 ,0.44 
3LgA15,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層15mm）,1.89 ,1.76 ,0.42 ,0.32 ,2.19 ,2.02 ,0.47 ,0.35 ,2.56 ,2.33 ,0.47 ,0.35 ,1.30 ,1.20 ,0.59 ,0.44 
3LgA16,三層ガラス（Low-E　1枚、乾燥空気、日射取得型、空気層16mm）,1.82 ,1.70 ,0.42 ,0.32 ,2.11 ,1.95 ,0.47 ,0.35 ,2.48 ,2.26 ,0.47 ,0.35 ,1.20 ,1.20 ,0.59 ,0.44 
3LsA06,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層6mm）,2.35 ,2.18 ,0.27 ,0.21 ,2.75 ,2.52 ,0.30 ,0.23 ,3.13 ,2.84 ,0.30 ,0.23 ,2.00 ,1.80 ,0.37 ,0.29 
3LsA07,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層7mm）,2.22 ,2.06 ,0.27 ,0.21 ,2.59 ,2.38 ,0.30 ,0.23 ,2.97 ,2.70 ,0.30 ,0.23 ,1.80 ,1.70 ,0.37 ,0.29 
3LsA08,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層8mm）,2.15 ,2.00 ,0.27 ,0.21 ,2.51 ,2.31 ,0.30 ,0.23 ,2.89 ,2.63 ,0.30 ,0.23 ,1.70 ,1.60 ,0.37 ,0.29 
3LsA09,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層9mm）,2.09 ,1.94 ,0.27 ,0.21 ,2.43 ,2.24 ,0.30 ,0.23 ,2.81 ,2.55 ,0.30 ,0.23 ,1.60 ,1.50 ,0.37 ,0.29 
3LsA10,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層10mm）,2.02 ,1.88 ,0.27 ,0.21 ,2.35 ,2.16 ,0.30 ,0.23 ,2.72 ,2.48 ,0.30 ,0.23 ,1.50 ,1.50 ,0.37 ,0.29 
3LsA11,三層ガラス（Low-E　1枚、乾燥空気、日射遮蔽型、空気層11mm）,2.02 ,1.88 ,0.27 ,0.21 ,2.35 ,2.16 ,0.30 ,0.23 ,2.72 ,2.48 ,0.30 ,0.23 ,1.50 ,1.40 ,0.37 ,0.29 
