áTbä‚å©ëÚ (59)-A4,,,,
äOãCâ∑[Åé],ñ@ê¸ñ íºíBì˙éÀó (Watanabe)[MJ/hm2],êÖïΩñ ìVãÛì˙éÀó (Watanabe)[MJ/hm2],ëæózçÇìxäp[Åã],ëæózï˚à äp[Åã]
-12.1,0,0,0,0
-13,0,0,0,0
-13.1,0,0,0,0
-12.8,0,0,0,0
-13,0,0,0,0
-12.4,0,0,0,0
-13,0,0,0,0
-12.7,0,0,0,0
-14.1,0,0,0,0
-12.4,0,0,0,0
-13.5,0,0,0,0
-13.9,0,0,0,0
-12.4,0.01,0.02,0,0
-13.4,1.39,0.18,8,-51.1
-10.4,2.68,0.23,15.7,-39.2
-10.6,3.16,0.24,21.6,-25.7
-9,3.36,0.25,25.1,-11
-7,2.88,0.36,25.7,4.5
-5.8,1.97,0.48,23.4,19.7
-6,1.21,0.44,18.5,33.8
-5.5,0.63,0.26,11.4,46.3
-6.9,0.17,0.04,2.8,57.4
-8.1,0,0,0,0
-9.1,0,0,0,0
-9.4,0,0,0,0
-9.6,0,0,0,0
-9.2,0,0,0,0
-12.8,0,0,0,0
-14.1,0,0,0,0
-13.6,0,0,0,0
-14.6,0,0,0,0
-13.5,0,0,0,0
-13.5,0,0,0,0
-14.7,0,0,0,0
-12.4,0,0,0,0
-13.5,0,0,0,0
-13.5,0.01,0.02,0,0
-12.7,1.06,0.19,8.1,-51.3
-11.3,2.08,0.3,15.9,-39.3
-11.3,3.27,0.23,21.8,-25.9
-8.6,3.45,0.23,25.3,-11.1
-6.7,3.03,0.33,25.9,4.5
-6.1,2.92,0.32,23.6,19.7
-5,2.99,0.23,18.7,33.8
-5.8,2.3,0.2,11.6,46.3
-7.8,0.73,0.07,3,57.5
-8.2,0,0,0,0
-7.8,0,0,0,0
-11,0,0,0,0
-9.6,0,0,0,0
-11.7,0,0,0,0
-13.3,0,0,0,0
-11.8,0,0,0,0
-13.6,0,0,0,0
-14.6,0,0,0,0
-14.1,0,0,0,0
-13.9,0,0,0,0
-14.6,0,0,0,0
-17.2,0,0,0,0
-16.9,0,0,0,0
-16,0.01,0.02,0,0
-13.7,1.8,0.17,8.2,-51.5
-14.7,1.39,0.36,16,-39.5
-11.8,2.44,0.37,21.9,-26
-9.6,1.67,0.58,25.4,-11.2
-2.7,0.17,0.51,26.1,4.4
-5.8,0.18,0.46,23.8,19.7
-2,0.19,0.36,18.9,33.8
-1.8,0.2,0.21,11.8,46.4
-2.1,0.22,0.06,3.2,57.6
-2.3,0,0,0,0
-2.6,0,0,0,0
-2.3,0,0,0,0
-2.4,0,0,0,0
-4,0,0,0,0
-4,0,0,0,0
-4.1,0,0,0,0
-4.6,0,0,0,0
-4.6,0,0,0,0
-4,0,0,0,0
-4.4,0,0,0,0
-4.4,0,0,0,0
-4.9,0,0,0,0
-4.8,0,0,0,0
-5.1,0.01,0.01,0,0
-5.3,0.11,0.13,8.3,-51.6
-5.4,0.12,0.26,16.2,-39.7
-5,0.17,0.41,22.1,-26.2
-4.8,0.47,0.62,25.6,-11.3
-5,1.22,0.66,26.3,4.3
-5.4,1.97,0.5,24,19.7
-5.4,2.57,0.3,19.1,33.8
-6.1,0.54,0.28,12,46.5
-6.5,0.17,0.06,3.4,57.7
-6.4,0,0,0,0
-6.8,0,0,0,0
-7.1,0,0,0,0
-7.1,0,0,0,0
-7.2,0,0,0,0
-7.1,0,0,0,0
-6.5,0,0,0,0
-6.9,0,0,0,0
-6.2,0,0,0,0
-7.1,0,0,0,0
-5.9,0,0,0,0
-6.2,0,0,0,0
-5.7,0,0,0,0
-6.6,0,0,0,0
-7.2,0.01,0.01,0,0
-6.9,0.11,0.12,8.5,-51.8
-6.4,0.11,0.25,16.3,-39.9
-5.9,0.09,0.36,22.3,-26.3
-6.3,0.1,0.42,25.8,-11.4
-6.5,0.09,0.43,26.5,4.3
-6.7,0.09,0.4,24.2,19.6
-6.8,0.83,0.47,19.3,33.8
-6.8,0.59,0.28,12.3,46.5
-7.6,0.23,0.07,3.6,57.8
-7.8,0,0,0,0
-8.1,0,0,0,0
-9.2,0,0,0,0
-9.7,0,0,0,0
-9.1,0,0,0,0
-9.3,0,0,0,0
-9.7,0,0,0,0
-9.2,0,0,0,0
-9.2,0,0,0,0
-9,0,0,0,0
-10.1,0,0,0,0
-10.2,0,0,0,0
-11,0,0,0,0
-10.6,0,0,0,0
-10.9,0.01,0.02,0,0
-11,1.74,0.17,8.6,-52
-8.7,2.76,0.23,16.5,-40
-8.8,2.83,0.32,22.5,-26.5
-7.1,3.41,0.25,26,-11.5
-6,3.41,0.26,26.7,4.2
-7.6,3.34,0.24,24.5,19.6
-6.9,3.04,0.24,19.5,33.9
-4.6,1.56,0.26,12.5,46.6
-6.6,0.79,0.08,3.8,57.8
-7,0,0,0,0
-6.5,0,0,0,0
-5.6,0,0,0,0
-4.7,0,0,0,0
-6.5,0,0,0,0
-6.3,0,0,0,0
-6.1,0,0,0,0
-5.3,0,0,0,0
-4.9,0,0,0,0
-6.4,0,0,0,0
-5.6,0,0,0,0
-4.8,0,0,0,0
-6.6,0,0,0,0
-8.9,0,0,0,0
-7.7,0.04,0.03,0,0
-7.1,1.66,0.18,8.7,-52.2
-6.6,2.56,0.25,16.6,-40.2
-2.8,2.99,0.29,22.6,-26.6
-1.5,3.18,0.3,26.2,-11.6
-3.3,3.18,0.31,27,4.1
-3.3,1.25,0.61,24.7,19.6
-0.8,0.3,0.42,19.8,33.9
0.5,0.3,0.25,12.7,46.7
-1.2,0.33,0.08,4,57.9
-2.4,0,0,0,0
-1.7,0,0,0,0
-1.9,0,0,0,0
-0.7,0,0,0,0
-1.4,0,0,0,0
-1.6,0,0,0,0
-1.9,0,0,0,0
-1.7,0,0,0,0
-1.7,0,0,0,0
-1.7,0,0,0,0
-1.6,0,0,0,0
-1.9,0,0,0,0
-2.2,0,0,0,0
-1.9,0,0,0,0
-1.7,0.01,0.01,0,0
-1.4,0.09,0.12,8.9,-52.4
-1.1,0.07,0.23,16.8,-40.4
-0.3,0.08,0.33,22.8,-26.8
0.4,0.08,0.39,26.5,-11.8
1.2,0.07,0.41,27.2,4.1
0.5,0.07,0.36,24.9,19.6
0.4,0.04,0.25,20,34
0.2,0.06,0.15,12.9,46.7
0.2,0.06,0.06,4.3,58
0.1,0,0,0,0
0.2,0,0,0,0
0.4,0,0,0,0
0.3,0,0,0,0
0.2,0,0,0,0
0.3,0,0,0,0
0.3,0,0,0,0
0.2,0,0,0,0
0.4,0,0,0,0
0.1,0,0,0,0
0.2,0,0,0,0
0.3,0,0,0,0
0.3,0,0,0,0
0.2,0,0,0,0
0.1,0.01,0.01,0,0
-0.3,0.07,0.12,9,-52.6
-0.8,0.07,0.23,17,-40.6
-0.6,0.07,0.34,23,-27
